id,item_group_id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,identifier_exists,google_product_category,product_type,is_bundle,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
50673076863108,,Hinok Refillable Spray Bottle – Recycled Plastic,"A replacement bottle for The Spray Set. Made from recycled plastic, designed for years of daily use. Fill it with any hinok Spray Refill pouch and it's ready.",in_stock,new,10.00 USD,,https://hinok.us/products/the-spray-bottle-empty?variant=50673076863108,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Bottle.png?v=1783581695,,Hinok,no,6240,Home Care > Fabric Care > accessory,no,spray,accessory,aov_under_30,low,in_stock
50673077125252,,Hinok Gentle Hand Wash – Jeju Hinoki Cypress – 15.2 fl oz (450 mL),"A daily hand etiquette, cleans fully and leaves only a light, neutral freshness.",in_stock,new,45.00 USD,,https://hinok.us/products/the-hand-wash-450ml?variant=50673077125252,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_7c82bf46-1324-49a3-87f4-5c16de3c5d73.png?v=1783581783,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_1.png?v=1783579663,Hinok,no,3208,Personal Care > Bath & Body > core,no,body_care,core,aov_30_49,low,in_stock
50673077158020,,Hinok Hand Wash Refill – Jeju Hinoki Cypress – 30.4 fl oz (900 mL),A large-format refill of the hinok hand wash. Gently formulated for frequent washing and lightly scented with Jeju-grown cypress. One pouch refills the 450 mL bottle twice.,in_stock,new,75.00 USD,,https://hinok.us/products/the-hand-wash-900ml-refill?variant=50673077158020,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/TheHandWashRefill.png?v=1783582062,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Wash_Refill_1.png?v=1783600371,Hinok,no,3208,Personal Care > Bath & Body > refill,no,body_care,refill,aov_50_plus,low,in_stock
50673077223556,,Hinok Fast-Absorbing Hand Balm – Jeju Hinoki Cypress – 1.2 fl oz (35 mL),"Jeju Hinoki Cypress water bound with shea butter and plant derived glycerin. It gives dry, working hands deep moisture, absorbs fast, and leaves no greasy film.",in_stock,new,27.00 USD,,https://hinok.us/products/the-hand-balm-35ml?variant=50673077223556,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_acc7bc19-9751-439a-878b-3b5d8572dc97.png?v=1783581811,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Hand_Balm_1.png?v=1783579924,Hinok,no,2592,Personal Care > Bath & Body > core,no,body_care,core,aov_under_30,low,in_stock
50673081450628,,Hinok Travel Fabric Refresher – Jeju Hinoki Cypress – 3.4 fl oz (100 mL),"A travel size deodorizing spray of Jeju-grown hinoki water. It neutralizes odor on clothes, bags, and car interiors, with no artificial fragrance and a light forest scent that fades on its own.",in_stock,new,20.00 USD,,https://hinok.us/products/the-spray-to-go-100ml?variant=50673081450628,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_59f74deb-1c1d-48bd-82a7-fef284947b73.png?v=1783581980,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_To_Go_1.png?v=1783584272,Hinok,no,6240,Home Care > Fabric Care > travel,no,spray,travel,aov_under_30,low,in_stock
51711033081988,10027480121476,Hinok Fabric Refresher Spray Set – Jeju Hinoki Cypress – 15.2 fl oz (450 mL),"Cypress water distilled in Jeju that removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",in_stock,new,40.00 USD,,https://hinok.us/products/the-spray-set?variant=51711033081988,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_5374e0d5-45fd-42d2-a12d-401bd458224f.png?v=1783581742,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_1_6f12674c-b491-4044-a5a7-57cb99dfec39.png?v=1783577914,Hinok,no,6240,Home Care > Fabric Care > starter_set,yes,spray,starter_set,aov_30_49,medium,in_stock
51556562141316,10027480121476,Hinok Fabric Refresher Spray Set – Jeju Hinoki Cypress – 30.4 fl oz (900 mL),"Cypress water distilled in Jeju that removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",in_stock,new,60.00 USD,,https://hinok.us/products/the-spray-set?variant=51556562141316,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_5374e0d5-45fd-42d2-a12d-401bd458224f.png?v=1783581742,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Set_1_6f12674c-b491-4044-a5a7-57cb99dfec39.png?v=1783577914,Hinok,no,6240,Home Care > Fabric Care > starter_set,yes,spray,starter_set,aov_50_plus,high,in_stock
50673282089092,10027480776836,Hinok Fabric Refresher Refill – Jeju Hinoki Cypress – 15.2 fl oz (450 mL),"The cypress water from The Spray, in a refill pouch for the bottle you already have. It removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",in_stock,new,30.00 USD,,https://hinok.us/products/the-spray-refill?variant=50673282089092,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/TheSprayRefill_fada699d-bb9f-4dbf-b00e-794abd8e89d8.png?v=1783582036,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Refill_1.png?v=1783584357,Hinok,no,6240,Home Care > Fabric Care > refill,no,spray,refill,aov_30_49,medium,in_stock
50673282121860,10027480776836,Hinok Fabric Refresher Refill – Jeju Hinoki Cypress – 30.4 fl oz (900 mL),"The cypress water from The Spray, in a refill pouch for the bottle you already have. It removes odor from fabrics and rooms. Alcohol free, no artificial fragrance, and a light forest scent that fades on its own.",in_stock,new,50.00 USD,,https://hinok.us/products/the-spray-refill?variant=50673282121860,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/TheSprayRefill_fada699d-bb9f-4dbf-b00e-794abd8e89d8.png?v=1783582036,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Refill_1.png?v=1783584357,Hinok,no,6240,Home Care > Fabric Care > refill,no,spray,refill,aov_50_plus,high,in_stock
51536032268420,10027484479620,Hinok Fabric Refresher Gift Set – Jeju Hinoki Cypress – 15.2 fl oz (450 mL),"The Spray eliminates odors from fabrics, clothing, and shared spaces — using only upcycled Jeju cypress water, no synthetic fragrance. This set includes the full Spray Set with a reusable linen pouch and hinok gift bag.",in_stock,new,50.00 USD,,https://hinok.us/products/the-spray-gift-set?variant=51536032268420,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Gift_Set_69a473bb-f5a9-4a89-9c9b-30801ab26007.png?v=1783680369,https://cdn.shopify.com/s/files/1/0620/9195/2260/files/The_Spray_Gift_Set_1.png?v=1783600424,Hinok,no,6240,Home Care > Fabric Care > gift_set,yes,spray,gift_set,aov_50_plus,high,in_stock
